City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,lompoc,34.6391,-120.4579,15.43,84,100,9.83,US,Wed Jan 31 19:45:39 2024
129,port hedland,-20.3167,118.5667,35.03,59,64,8.75,AU,Wed Jan 31 19:45:39 2024
130,vadso,70.0744,29.7487,0.09,86,40,12.86,NO,Wed Jan 31 19:45:39 2024
131,aasiaat,68.7098,-52.8699,-25.85,97,90,4.9,GL,Wed Jan 31 19:45:39 2024
132,hamilton,39.1834,-84.5333,4.2,85,100,2.57,US,Wed Jan 31 19:43:13 2024
133,itapuranga,-15.5622,-49.9486,20.0,95,8,2.26,BR,Wed Jan 31 19:45:39 2024
134,keflavik,64.0049,-22.5624,0.24,86,100,5.14,IS,Wed Jan 31 19:45:39 2024
135,mandan,46.8267,-100.8896,3.89,96,0,2.57,US,Wed Jan 31 19:45:40 2024
136,marksville,31.128,-92.0662,9.99,78,95,2.29,US,Wed Jan 31 19:45:40 2024
137,kerikeri,-35.2268,173.9474,27.17,64,0,1.34,NZ,Wed Jan 31 19:45:40 2024
138,mount pearl,47.5166,-52.7813,-6.63,81,0,8.23,CA,Wed Jan 31 19:45:40 2024
139,stanley,54.868,-1.6985,4.6,86,20,7.2,GB,Wed Jan 31 19:45:40 2024
140,la asuncion,11.0333,-63.8628,26.85,83,65,5.66,VE,Wed Jan 31 19:45:40 2024
141,huarmey,-10.0681,-78.1522,24.11,79,98,3.22,PE,Wed Jan 31 19:45:40 2024
142,suphan buri,14.4742,100.1222,32.49,43,42,2.59,TH,Wed Jan 31 19:45:41 2024
143,tamanrasset,22.785,5.5228,9.95,23,0,7.2,DZ,Wed Jan 31 19:45:41 2024
144,charters towers,-20.1,146.2667,31.94,52,98,2.46,AU,Wed Jan 31 19:45:41 2024
145,obo,5.3998,26.4869,22.36,21,100,2.98,CF,Wed Jan 31 19:45:41 2024
146,acarau,-2.8856,-40.12,26.9,86,100,4.44,BR,Wed Jan 31 19:45:41 2024
147,trujillo,-8.116,-79.03,23.98,83,100,3.09,PE,Wed Jan 31 19:43:13 2024
